População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2009
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4048;4200;4794;5223;6407;6981;7081;6360;6022;6376;5993;5075;4310;3435;3100;5648;85053
"Alto de Pinheiros";1779;1824;2077;2416;3057;3246;3529;3124;3066;3441;3155;2919;2542;2049;1836;3158;43218
"Anhanguera";5084;5424;6331;5780;5991;5863;5819;5729;5292;4041;2891;1974;1182;696;431;528;63056
"Aricanduva";5259;5679;6623;6481;7523;7925;7324;6906;6643;6140;5705;4728;4021;3120;2605;3436;90118
"Artur Alvim";6367;6604;7726;7759;9120;9921;9406;8333;7264;7039;6397;5617;4623;3476;2674;3541;105867
"Barra Funda";723;692;678;772;1177;1423;1366;1197;934;934;912;775;695;495;434;1024;14231
"Bela Vista";2746;2447;2668;3513;6932;8989;7507;5657;4853;4511;4269;3797;3135;2284;1880;3708;68896
"Belém";2550;2356;2566;2706;3990;4613;4109;3399;2928;2960;2624;2350;1817;1423;1345;2711;44447
"Bom Retiro";2120;2048;2185;2283;3321;3515;3188;2489;2264;2028;1794;1534;1160;889;879;1392;33089
"Brás";1737;1761;1898;2034;2986;3232;2918;2479;2100;1825;1635;1254;955;690;497;845;28846
"Brasilândia";20463;22422;25572;23525;24956;25022;22733;20197;18587;15521;13001;9908;7561;5085;3775;4810;263138
"Butantã";2383;2370;2606;3034;4699;5593;4977;4111;3739;3721;3553;3257;2754;2131;1893;3259;54080
"Cachoeirinha";10543;11159;12528;12227;13344;13854;12755;10971;10143;9012;7911;5966;4511;3076;2366;3296;143662
"Cambuci";2075;1943;2055;2078;2822;3325;3363;3019;2608;2444;2303;1935;1537;1265;1159;2203;36134
"Campo Belo";3204;3090;3213;3345;4762;5695;5807;5343;4694;4717;4502;4164;3493;2900;2495;4331;65755
"Campo Grande";5747;5799;6625;6682;7596;8703;9250;8504;8177;7611;6635;5339;4146;3072;2404;3514;99804
"Campo Limpo";15752;16061;18385;17027;19661;21110;20275;17661;15039;12465;10881;8362;6110;3992;2885;3516;209182
"Cangaíba";8656;9311;11038;10840;12492;12664;11552;10643;10032;9358;8135;6464;4979;3740;2770;3967;136641
"Capão Redondo";20249;21651;24507;22907;25836;26802;24809;21553;18972;15573;13204;10452;7573;4892;3075;3594;265649
"Carrão";4072;4381;5167;5397;6408;6857;6747;6307;5960;6174;5597;4784;4111;3182;2842;4866;82852
"Casa Verde";4821;4993;5687;5776;7305;7819;7361;6340;5875;5873;5516;4648;3774;2934;2564;4165;85451
"Cidade Ademar";18967;19749;22420;21979;25480;26017;24536;21205;18701;15804;13924;11140;8582;5977;4265;5448;264194
"Cidade Dutra";13278;14484;16740;16181;18153;18418;17465;15576;14376;12539;11151;8822;6892;4572;3155;3986;195788
"Cidade Líder";8563;9249;10439;10355;11482;12069;11399;10099;9052;8093;7262;5842;4433;2956;1936;2317;125546
"Cidade Tiradentes";17566;19668;21877;19932;19648;20006;18345;15989;13947;12122;10375;7860;5047;3039;1814;1873;209108
"Consolação";1665;1657;1896;3114;6484;6446;5048;4011;3631;3989;3866;3412;3002;2329;2060;4544;57154
"Cursino";5895;5889;6568;7118;8834;9917;9404;8204;7753;7758;7400;6107;4847;3679;3371;5598;108342
"Ermelino Matarazzo";8028;8344;9534;9274;10595;10786;9990;8992;8311;7226;6251;5099;3702;2519;1893;2489;113033
"Freguesia do Ó";7975;8561;10238;10187;12106;13055;12312;10869;10360;10156;9579;7584;5910;4252;3685;5737;142566
"Grajaú";28693;31280;35838;33437;34663;35078;32068;28594;25985;21198;17174;12686;8841;5241;3248;3596;357620
"Guaianases";7999;8805;9957;9678;9810;9728;8987;7971;7279;6147;5234;4107;2921;1922;1337;1613;103495
