População residente projetada em 01 de julho segundo ano, sexo, faixa etária e local de residência. Município de São Paulo
Populacao por Dist Adm (DA) e Faixa Etária
Período:2003
"Dist Adm (DA)";"00 a 04";"05 a 09";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 e mais";"Total"
"Água Rasa";4575;4718;5516;6363;7144;6822;6673;6695;6272;6013;5317;4296;4040;3553;3200;4578;85775
"Alto de Pinheiros";1852;2011;2372;2941;3844;3676;3383;3389;3256;3336;3041;2658;2440;1896;1609;2413;44117
"Anhanguera";4767;4645;4725;4282;4281;4496;4779;4175;3352;2391;1574;1051;646;397;279;322;46162
"Aricanduva";6534;6539;7469;8063;8590;8175;7561;7273;6727;5969;5293;4224;3730;2876;2153;2455;93631
"Artur Alvim";7717;7513;8583;9636;10672;10077;9012;8391;7528;7290;6372;5113;4217;3151;2334;2486;110092
"Barra Funda";703;692;760;922;1249;1245;1062;1014;940;859;822;662;580;484;474;893;13361
"Bela Vista";3003;2636;2898;3997;6853;7727;6508;5376;4837;4402;3942;3098;2589;2174;1975;3258;65273
"Belém";2494;2297;2602;3028;3721;3588;3210;3128;2914;2693;2265;1828;1743;1543;1491;2395;40940
"Bom Retiro";1970;1836;1925;2183;2878;2834;2468;2179;1990;1718;1474;1190;1105;868;837;1201;28656
"Brás";1934;1762;1771;2030;2656;2663;2459;2353;2046;1640;1299;961;779;660;553;797;26363
"Brasilândia";24981;23660;24731;24992;25295;24069;21988;19427;16564;13314;10557;7599;5902;4187;3001;3483;253750
"Butantã";2604;2576;3079;3865;4983;5002;4431;4123;3901;3735;3444;2850;2506;2040;1716;2526;53381
"Cachoeirinha";13250;12948;13486;14159;14269;13656;12828;11377;10091;8295;6608;4678;3747;2778;2106;2505;146781
"Cambuci";1842;1659;1885;2238;2688;2608;2565;2422;2279;2071;1830;1476;1360;1170;1172;1849;31114
"Campo Belo";3476;3362;3752;4495;5918;5865;5367;5242;4781;4583;4374;3845;3292;2607;2254;3315;66528
"Campo Grande";6012;6120;6992;7507;8074;8122;8458;8475;7730;6742;5460;4167;3378;2547;1981;2524;94289
"Campo Limpo";17919;16836;18131;18914;20235;19678;18133;16045;13749;11087;8700;6108;4538;3124;2224;2502;197923
"Cangaíba";10645;10565;11953;12377;12729;12444;11736;11318;10067;8519;6950;5283;4238;3271;2502;2907;137504
"Capão Redondo";22885;22161;23914;24860;26241;24727;22392;19368;16733;13663;10759;7613;5418;3421;2183;2583;248921
"Carrão";4582;4734;5651;6160;6484;6364;6196;6378;5909;5469;4813;3993;3695;3083;2651;3742;79904
"Casa Verde";5335;5307;6179;7112;7747;7213;6731;6499;6170;5594;4802;3826;3440;2775;2440;3188;84358
"Cidade Ademar";21571;20811;22789;24436;25781;24112;22343;19518;16958;14111;11635;8700;6753;4773;3338;3865;251494
"Cidade Dutra";16078;16013;17867;18888;19303;17965;16704;15380;13829;11485;9524;6695;5114;3476;2476;2899;193696
"Cidade Líder";9827;9853;10729;11535;11891;11221;10510;9324;8521;7391;6079;4398;3217;2245;1531;1750;120022
"Cidade Tiradentes";20615;20242;20966;20543;18884;17953;16910;15038;13457;11016;7883;5020;3283;2052;1265;1183;196310
"Consolação";1899;1878;2155;3452;5966;5574;4554;4200;3988;3956;3707;3062;2616;2292;2179;4070;55548
"Cursino";6300;6265;7436;8340;9111;8868;8443;8355;7932;7144;6086;4715;4394;3668;3133;4132;104322
"Ermelino Matarazzo";9253;8959;9846;10211;10811;10287;9637;8745;7692;6536;5078;3801;2903;2077;1540;1812;109188
"Freguesia do Ó";9846;9891;11331;12375;13161;12565;12140;11656;10986;9571;8014;6021;5188;4168;3451;4315;144679
"Grajaú";34348;33359;34458;35376;35481;33867;30868;26781;22912;17870;13364;8786;5846;3650;2356;2478;341800
"Guaianases";9791;9671;10043;10296;10138;9479;8659;7547;6676;5530;4186;3018;2229;1468;1023;1167;100921
"Iguatemi";10812;10819;11317;11301;10539;10001;9668;8646;7586;5978;4493;3042;2041;1302;777;844;109166
"Ipiranga";6204;6139;6776;7828;8903;8936;8236;7847;7421;6746;5788;4478;4130;3497;3306;5049;101284
"Itaim Bibi";3739;3434;3941;5248;7035;7801;7300;7174;6463;6316;5785;4774;3796;3472;3206;5310;84794
"Itaim Paulista";20958;20890;22285;22469;20944;20005;18672;16538;14633;11763;9094;6334;4715;3226;2070;2261;216857
"Itaquera";18002;17503;18737;19131;19588;19013;17861;16004;13936;11631;9435;7025;5509;3888;2706;2988;202957
"Jabaquara";15786;15174;16975;18381;20128;20207;19508;17961;16180;13657;11176;8709;7295;5732;4711;6064;217644
"Jaçanã";7359;7285;7827;8501;8817;8210;7492;7079;6402;5536;4801;3627;3232;2464;1946;2547;93125
"Jaguara";1518;1593;1839;2113;2325;2182;1973;1956;1863;1747;1594;1208;1034;886;736;966;25533
"Jaguaré";3518;3362;3501;3861;4392;4444;4149;3548;2980;2579;2182;1810;1508;1107;868;1051;44860
"Jaraguá";14372;14256;15555;15486;15210;14518;13972;12847;11219;9208;7174;4901;3377;2240;1546;1622;157503
"Jardim Ângela";27070;25581;26202;26627;27213;26935;24156;20003;16833;12919;9846;6524;4487;2698;1793;1848;260735
"Jardim Helena";13623;13248;13902;14106;13730;13052;11929;10506;8981;7201;5701;4084;3192;2112;1519;1556;138442
"Jardim Paulista";3087;2972;3397;4780;7594;8117;7024;6545;6214;6310;6084;5176;4281;3603;3454;6616;85254
"Jardim São Luís";22090;21074;22702;24312;25748;25069;22887;19905;17016;13800;10899;7655;5747;3880;2638;2904;248326
"José Bonifácio";8994;8805;9879;11094;11606;10300;9176;8036;7916;7529;6361;4419;3218;2042;1462;1465;112302
"Lajeado";16440;16080;16835;16383;15828;14991;13807;12159;10227;8014;6183;4350;3172;2124;1446;1588;159627
"Lapa";2812;2853;3342;4074;4894;4932;4794;4869;4665;4476;4038;3335;3095;2776;2586;4299;61840
"Liberdade";3299;3082;3521;4560;6235;6607;5754;5233;4854;4380;3952;3069;2590;2112;1956;3106;64310
"Limão";5798;5683;6363;7124;7932;7139;6506;6224;5901;5343;4524;3454;2981;2329;1956;2521;81778
"Mandaqui";6867;6925;7932;8642;9241;9037;9005;9006;8211;7055;5935;4583;3898;3145;2399;2974;104855
"Marsilac";886;873;957;862;732;607;613;570;543;427;349;267;230;176;108;116;8316
"Moema";3383;3149;3665;4586;6135;6518;6388;6552;6074;6105;5489;4180;3279;2716;2549;4135;74903
"Moóca";3315;3307;3909;4632;5349;5286;5181;5438;5140;4690;4059;3437;3239;3005;2744;4256;66987
"Morumbi";2431;2437;2630;2944;3524;3506;3347;3157;2918;2648;2424;1949;1518;1098;855;1184;38570
"Parelheiros";11919;11653;11927;11469;10836;10299;9832;8443;7372;5610;4234;2775;1924;1274;804;915;111286
"Pari";962;881;978;1200;1485;1401;1231;1130;1063;969;824;713;665;576;590;857;15525
"Parque do Carmo";5754;5689;6196;6424;6514;6204;5821;5073;4453;3749;3075;2147;1642;1122;750;905;65518
"Pedreira";12794;12281;12969;13255;13665;12904;12078;10344;8887;7079;5459;3733;2602;1783;1199;1370;132402
"Penha";7738;7717;8814;10041;10850;10490;9919;9793;9220;8377;7326;5878;5396;4600;4033;5461;125653
"Perdizes";4669;4763;5520;6992;9353;9169;8586;8563;8400;8028;7265;5659;4775;3966;3580;5905;105193
"Perus";7244;6964;7175;6983;7264;7061;6741;5791;4953;3810;3063;2083;1619;1138;765;908;73562
"Pinheiros";2595;2455;2941;3837;5273;5890;5433;5253;4821;4822;4232;3536;3033;2577;2654;4468;63820
"Pirituba";12029;11782;13307;14333;14914;14646;14137;13348;12350;10665;8821;6565;5522;4228;3320;4042;164009
"Ponte Rasa";6965;6999;7960;8731;8942;8492;8016;7604;7181;6305;5324;4104;3495;2607;2104;2402;97231
"Raposo Tavares";8106;7969;8339;9226;9514;9231;8509;7348;6471;5466;4494;3167;2284;1540;996;1206;93866
"República";2512;2098;2205;3078;5147;5882;5208;4488;4046;3486;3116;2435;2068;1571;1292;1963;50595
"Rio Pequeno";8884;8515;9462;10351;11093;10660;9934;9220;8248;7169;5787;4245;3604;2658;1944;2228;114002
"Sacomã";17853;17471;19024;20578;22044;21901;21124;19498;17397;14525;11483;8697;7281;5649;4522;5486;234533
"Santa Cecília";3678;3302;3727;4810;7062;7524;6671;6097;5785;5310;4744;3733;3226;2749;2519;4286;75223
"Santana";5848;6079;7443;8767;11590;11050;9944;9791;9513;9049;7638;6095;5399;4622;4202;6098;123128
