"","sample","interval_score","dispersion","underprediction","overprediction","coverage_deviation","bias","ae_median","rs_cir","base","week","dt_event","Median","LI","LS","LIb","LSb","casos","cov_50","cov_95"
"1",29,0.33,0.13,0.2,0,0.22,-0.5,1,"ADAMANTINA",2022-05-04,8,2022-04-13,4,4,7,4,5,5,1,1
"2",92,0.45,0.25,0.2,0,0.22,-0.5,1,"ADAMANTINA",2022-05-04,9,2022-04-20,3,2,7,2,4,4,1,1
"3",155,1.67,0.27,1.4,0,-0.18,-0.95,3,"ADAMANTINA",2022-05-04,10,2022-04-27,2,0,7,1,3,5,0,1
"4",218,1.67,0.27,1.4,0,-0.18,-0.95,3,"ADAMANTINA",2022-05-04,11,2022-05-04,2,0,7,1,3,5,0,1
"5",785,0.26,0.26,0,0,0.42,0,0,"ADAMANTINA",2022-06-08,8,2022-05-18,6,5,11,5,7,6,1,1
"6",848,5.4,0.4,5,0,-0.58,-1,9,"ADAMANTINA",2022-06-08,9,2022-05-25,6,4,14,5,8,15,0,0
"7",911,1.37,0.77,0.6,0,0.22,-0.5,3,"ADAMANTINA",2022-06-08,10,2022-06-01,6,1,18,3,9,9,1,1
"8",974,1.6,0.8,0.8,0,0.22,-0.5,4,"ADAMANTINA",2022-06-08,11,2022-06-08,6,1,21,4,10,10,1,1
"9",1793,2.18,0.58,0,1.6,-0.18,0.95,4,"ADAMANTINA",2022-06-12,8,2022-05-22,18,13,31,16,20,14,0,1
"10",1856,6.7,1.1,0,5.6,-0.58,1,10,"ADAMANTINA",2022-06-12,9,2022-05-29,22,14,44,19,27,12,0,0
"11",1919,8.52,2.32,0,6.2,-0.18,0.95,15,"ADAMANTINA",2022-06-12,10,2022-06-05,24,8,70,17,34,9,0,1
"12",1982,14.25,3.85,0,10.4,-0.18,0.95,24,"ADAMANTINA",2022-06-12,11,2022-06-12,32,8,113,22,50,8,0,1
"13",533,2.27,0.27,2,0,-0.18,-0.95,4,"ADAMANTINA",2022-07-06,8,2022-06-15,6,4,11,5,7,10,0,1
"14",596,1.8,0.4,1.4,0,-0.18,-0.95,3,"ADAMANTINA",2022-07-06,9,2022-06-22,3,0,10,1,4,6,0,1
"15",659,8.04,0.64,7.4,0,-0.58,-1,13,"ADAMANTINA",2022-07-06,10,2022-06-29,3,0,14,1,6,16,0,0
"16",722,7.17,0.57,6.6,0,-0.18,-0.95,13,"ADAMANTINA",2022-07-06,11,2022-07-06,2,0,17,1,5,15,0,1
"17",2297,2.25,0.65,0,1.6,-0.18,0.95,4,"ADAMANTINA",2022-07-20,8,2022-06-29,20,16,31,18,23,16,0,1
"18",2360,1.27,1.07,0.2,0,0.22,-0.5,1,"ADAMANTINA",2022-07-20,9,2022-07-06,14,6,33,11,19,15,1,1
"19",2423,3.17,1.97,0,1.2,0.22,0.5,6,"ADAMANTINA",2022-07-20,10,2022-07-13,16,3,50,10,25,10,1,1
"20",2486,8.7,2.9,0,5.8,-0.18,0.95,15,"ADAMANTINA",2022-07-20,11,2022-07-20,17,2,82,9,30,2,0,1
"21",1289,1.34,0.14,0,1.2,-0.58,1,2,"ADAMANTINA",2022-08-10,8,2022-07-20,4,3,7,3,4,2,0,0
"22",1352,0.38,0.38,0,0,0.42,0,0,"ADAMANTINA",2022-08-10,9,2022-07-27,4,2,10,3,6,4,1,1
"23",1415,1.08,0.68,0,0.4,0.22,0.5,2,"ADAMANTINA",2022-08-10,10,2022-08-03,5,1,19,3,8,3,1,1
"24",1478,1.3,0.7,0.6,0,0.22,-0.5,3,"ADAMANTINA",2022-08-10,11,2022-08-10,4,0,20,2,7,7,1,1
"25",2549,3.13,0.13,0,3,-0.58,1,3,"ADAMANTINA",2022-08-24,8,2022-08-03,6,6,9,6,7,3,0,0
"26",2612,2.26,0.26,2,0,-0.18,-0.95,4,"ADAMANTINA",2022-08-24,9,2022-08-10,3,2,8,2,4,7,0,1
"27",2675,1.1,0.5,0.6,0,0.22,-0.5,3,"ADAMANTINA",2022-08-24,10,2022-08-17,2,0,10,1,5,5,1,1
"28",2738,0.72,0.52,0,0.2,0.22,0.5,1,"ADAMANTINA",2022-08-24,11,2022-08-24,3,0,12,1,5,2,1,1
"29",281,0.12,0.12,0,0,0.42,0,0,"ADAMANTINA",2022-11-05,8,2022-10-15,0,0,2,0,1,0,1,1
"30",344,0.13,0.13,0,0,0.42,0,0,"ADAMANTINA",2022-11-05,9,2022-10-22,3,3,6,3,4,3,1,1
"31",407,0.26,0.26,0,0,0.42,0,0,"ADAMANTINA",2022-11-05,10,2022-10-29,1,0,6,0,2,1,1,1
"32",470,1.67,0.27,1.4,0,-0.18,-0.95,3,"ADAMANTINA",2022-11-05,11,2022-11-05,1,0,7,0,2,4,0,1
"33",1541,0.31,0.31,0,0,0.42,0,0,"ADAMANTINA",2022-12-10,8,2022-11-19,4,3,14,3,5,4,1,1
"34",1604,0.61,0.41,0.2,0,0.22,-0.5,1,"ADAMANTINA",2022-12-10,9,2022-11-26,3,1,12,2,5,4,1,1
"35",1667,0.59,0.59,0,0,0.42,0,0,"ADAMANTINA",2022-12-10,10,2022-12-03,4,0,19,2,6,4,1,1
"36",1730,6.49,0.89,5.6,0,-0.18,-0.95,12,"ADAMANTINA",2022-12-10,11,2022-12-10,4,0,29,2,8,16,0,1
"37",2801,2.18,0.38,0,1.8,-0.58,1,3,"ADAMANTINA",2023-01-28,8,2023-01-07,6,4,12,5,8,3,0,0
"38",2864,1.35,0.55,0,0.8,-0.18,0.95,2,"ADAMANTINA",2023-01-28,9,2023-01-14,9,5,20,8,12,7,0,1
"39",2927,3.01,0.81,0,2.2,-0.18,0.95,5,"ADAMANTINA",2023-01-28,10,2023-01-21,6,1,22,4,10,1,0,1
"40",2990,2.32,1.12,0,1.2,-0.18,0.95,4,"ADAMANTINA",2023-01-28,11,2023-01-28,6,0,32,3,11,2,0,1
"41",2045,0.13,0.13,0,0,0.42,0,0,"ADAMANTINA",2023-02-18,8,2023-01-29,2,2,5,2,3,2,1,1
"42",2108,0.25,0.25,0,0,0.42,0,0,"ADAMANTINA",2023-02-18,9,2023-02-05,2,1,6,1,3,2,1,1
"43",2171,0.26,0.26,0,0,0.42,0,0,"ADAMANTINA",2023-02-18,10,2023-02-12,1,0,6,0,2,1,1,1
"44",2234,0.47,0.27,0,0.2,0.22,0.5,1,"ADAMANTINA",2023-02-18,11,2023-02-19,1,0,7,0,2,0,1,1
"45",1037,0.12,0.12,0,0,0.42,0,0,"ADAMANTINA",2023-03-10,8,2023-02-18,0,0,2,0,1,0,1,1
"46",1100,0.34,0.14,0,0.2,0.22,0.5,1,"ADAMANTINA",2023-03-10,9,2023-02-25,1,0,4,0,1,0,1,1
"47",1163,0.77,0.37,0.4,0,0.22,-0.5,2,"ADAMANTINA",2023-03-10,10,2023-03-04,3,2,9,2,5,5,1,1
"48",1226,0.45,0.45,0,0,0.42,0,0,"ADAMANTINA",2023-03-10,11,2023-03-11,2,0,15,1,4,2,1,1
"49",3053,2.11,0.31,0,1.8,-0.58,1,3,"ADAMANTINA",2023-04-28,8,2023-04-07,3,1,12,2,4,0,0,0
"50",3116,0.43,0.43,0,0,0.42,0,0,"ADAMANTINA",2023-04-28,9,2023-04-14,2,0,13,1,4,2,1,1
"51",3179,0.59,0.59,0,0,0.42,0,0,"ADAMANTINA",2023-04-28,10,2023-04-21,2,0,19,1,5,2,1,1
"52",3242,1.05,0.65,0.4,0,0.22,-0.5,2,"ADAMANTINA",2023-04-28,11,2023-04-28,2,0,25,1,5,4,1,1
"53",27,0.01,0.01,0,0,0.42,0,0,"ALTA ANHANGUERA",2022-05-04,8,2022-04-13,1,1,2,1,1,1,1,1
"54",90,0.62,0.02,0.6,0,-0.18,-0.95,1,"ALTA ANHANGUERA",2022-05-04,9,2022-04-20,0,0,2,0,0,1,0,1
"55",153,0.92,0.12,0.8,0,-0.18,-0.95,2,"ALTA ANHANGUERA",2022-05-04,10,2022-04-27,0,0,2,0,1,2,0,1
"56",216,2.22,0.02,2.2,0,-0.58,-1,3,"ALTA ANHANGUERA",2022-05-04,11,2022-05-04,0,0,2,0,0,3,0,0
"57",783,0.89,0.49,0.4,0,0.22,-0.5,2,"ALTA ANHANGUERA",2022-06-08,8,2022-05-18,5,3,22,4,7,7,1,1
"58",846,0.91,0.71,0.2,0,0.22,-0.5,1,"ALTA ANHANGUERA",2022-06-08,9,2022-05-25,5,2,33,4,8,6,1,1
"59",909,1.6,1.2,0.4,0,0.22,-0.5,2,"ALTA ANHANGUERA",2022-06-08,10,2022-06-01,8,1,41,5,13,10,1,1
"60",972,3.19,1.79,0,1.4,-0.18,0.95,5,"ALTA ANHANGUERA",2022-06-08,11,2022-06-08,11,2,61,7,19,6,0,1
"61",1791,0.78,0.78,0,0,0.42,0,0,"ALTA ANHANGUERA",2022-06-12,8,2022-05-22,6,3,31,4,9,6,1,1
"62",1854,1.22,1.22,0,0,0.42,0,0,"ALTA ANHANGUERA",2022-06-12,9,2022-05-29,8,3,45,5,13,8,1,1
"63",1917,3.82,1.82,0,2,-0.18,0.95,6,"ALTA ANHANGUERA",2022-06-12,10,2022-06-05,13,4,66,9,21,7,0,1
"64",1980,4.7,3.3,0,1.4,0.22,0.5,7,"ALTA ANHANGUERA",2022-06-12,11,2022-06-12,18,4,114,10,32,11,1,1
"65",531,2,0.6,0,1.4,-0.18,0.95,3,"ALTA ANHANGUERA",2022-07-06,8,2022-06-15,12,9,29,11,15,9,0,1
"66",594,1.92,0.72,1.2,0,-0.18,-0.95,4,"ALTA ANHANGUERA",2022-07-06,9,2022-06-22,12,7,29,10,15,16,0,1
"67",657,1.13,1.13,0,0,0.42,0,0,"ALTA ANHANGUERA",2022-07-06,10,2022-06-29,9,2,35,6,14,9,1,1
"68",720,3.2,1.8,0,1.4,-0.18,0.95,5,"ALTA ANHANGUERA",2022-07-06,11,2022-07-06,10,1,61,6,18,5,0,1
